NOME,IDADE,CPF,CIDADE,ESTADO,PAIS,CPF
joao,"-141,8333333",30,joao,"201,8333333","373,6666667",joao
ana,"-147,3333333",31,ana,"209,3333333","387,6666667",ana
pedro,"-152,8333333",32,pedro,"216,8333333","401,6666667",pedro
joao,"-158,3333333",33,joao,"224,3333333","415,6666667",joao
ana,"-163,8333333",34,ana,"231,8333333","429,6666667",ana
pedro,"-169,3333333",35,pedro,"239,3333333","443,6666667",pedro
joao,"-174,8333333",36,joao,"246,8333333","457,6666667",joao
ana,"-180,3333333",37,ana,"254,3333333","471,6666667",ana
pedro,"-185,8333333",38,pedro,"261,8333333","485,6666667",pedro
joao,"-191,3333333",39,joao,"269,3333333","499,6666667",joao
ana,"-196,8333333",40,ana,"276,8333333","513,6666667",ana
pedro,"-202,3333333",41,pedro,"284,3333333","527,6666667",pedro
joao,"-207,8333333",42,joao,"291,8333333","541,6666667",joao
ana,"-213,3333333",43,ana,"299,3333333","555,6666667",ana
pedro,"-218,8333333",44,pedro,"306,8333333","569,6666667",pedro
joao,"-224,3333333",45,joao,"314,3333333","583,6666667",joao
ana,"-229,8333333",46,ana,"321,8333333","597,6666667",ana
pedro,"-235,3333333",47,pedro,"329,3333333","611,6666667",pedro
joao,"-240,8333333",48,joao,"336,8333333","625,6666667",joao
ana,"-246,3333333",49,ana,"344,3333333","639,6666667",ana
pedro,"-251,8333333",50,pedro,"351,8333333","653,6666667",pedro
joao,"-257,3333333",51,joao,"359,3333333","667,6666667",joao
ana,"-262,8333333",52,ana,"366,8333333","681,6666667",ana
pedro,"-268,3333333",53,pedro,"374,3333333","695,6666667",pedro
joao,"-273,8333333",54,joao,"381,8333333","709,6666667",joao
ana,"-279,3333333",55,ana,"389,3333333","723,6666667",ana
pedro,"-284,8333333",56,pedro,"396,8333333","737,6666667",pedro
joao,"-290,3333333",57,joao,"404,3333333","751,6666667",joao
ana,"-295,8333333",58,ana,"411,8333333","765,6666667",ana
pedro,"-301,3333333",59,pedro,"419,3333333","779,6666667",pedro
joao,"-306,8333333",60,joao,"426,8333333","793,6666667",joao
ana,"-312,3333333",61,ana,"434,3333333","807,6666667",ana
pedro,"-317,8333333",62,pedro,"441,8333333","821,6666667",pedro
joao,"-323,3333333",63,joao,"449,3333333","835,6666667",joao
ana,"-328,8333333",64,ana,"456,8333333","849,6666667",ana
pedro,"-334,3333333",65,pedro,"464,3333333","863,6666667",pedro
joao,"-339,8333333",66,joao,"471,8333333","877,6666667",joao
ana,"-345,3333333",67,ana,"479,3333333","891,6666667",ana
pedro,"-350,8333333",68,pedro,"486,8333333","905,6666667",pedro
joao,"-356,3333333",69,joao,"494,3333333","919,6666667",joao
ana,"-361,8333333",70,ana,"501,8333333","933,6666667",ana
pedro,"-367,3333333",71,pedro,"509,3333333","947,6666667",pedro
joao,"-372,8333333",72,joao,"516,8333333","961,6666667",joao
ana,"-378,3333333",73,ana,"524,3333333","975,6666667",ana
pedro,"-383,8333333",74,pedro,"531,8333333","989,6666667",pedro
joao,"-389,3333333",75,joao,"539,3333333","1003,666667",joao
ana,"-394,8333333",76,ana,"546,8333333","1017,666667",ana
pedro,"-400,3333333",77,pedro,"554,3333333","1031,666667",pedro
joao,"-405,8333333",78,joao,"561,8333333","1045,666667",joao
ana,"-411,3333333",79,ana,"569,3333333","1059,666667",ana
pedro,"-416,8333333",80,pedro,"576,8333333","1073,666667",pedro
joao,"-422,3333333",81,joao,"584,3333333","1087,666667",joao
ana,"-427,8333333",82,ana,"591,8333333","1101,666667",ana
pedro,"-433,3333333",83,pedro,"599,3333333","1115,666667",pedro
joao,"-438,8333333",84,joao,"606,8333333","1129,666667",joao
ana,"-444,3333333",85,ana,"614,3333333","1143,666667",ana
pedro,"-449,8333333",86,pedro,"621,8333333","1157,666667",pedro
joao,"-455,3333333",87,joao,"629,3333333","1171,666667",joao
ana,"-460,8333333",88,ana,"636,8333333","1185,666667",ana
pedro,"-466,3333333",89,pedro,"644,3333333","1199,666667",pedro
joao,"-471,8333333",90,joao,"651,8333333","1213,666667",joao
ana,"-477,3333333",91,ana,"659,3333333","1227,666667",ana
pedro,"-482,8333333",92,pedro,"666,8333333","1241,666667",pedro
joao,"-488,3333333",93,joao,"674,3333333","1255,666667",joao
ana,"-493,8333333",94,ana,"681,8333333","1269,666667",ana
pedro,"-499,3333333",95,pedro,"689,3333333","1283,666667",pedro
joao,"-504,8333333",96,joao,"696,8333333","1297,666667",joao
ana,"-510,3333333",97,ana,"704,3333333","1311,666667",ana
pedro,"-515,8333333",98,pedro,"711,8333333","1325,666667",pedro
joao,"-521,3333333",99,joao,"719,3333333","1339,666667",joao
ana,"-526,8333333",100,ana,"726,8333333","1353,666667",ana
pedro,"-532,3333333",101,pedro,"734,3333333","1367,666667",pedro
joao,"-537,8333333",102,joao,"741,8333333","1381,666667",joao
ana,"-543,3333333",103,ana,"749,3333333","1395,666667",ana
pedro,"-548,8333333",104,pedro,"756,8333333","1409,666667",pedro
joao,"-554,3333333",105,joao,"764,3333333","1423,666667",joao
ana,"-559,8333333",106,ana,"771,8333333","1437,666667",ana
pedro,"-565,3333333",107,pedro,"779,3333333","1451,666667",pedro
joao,"-570,8333333",108,joao,"786,8333333","1465,666667",joao
ana,"-576,3333333",109,ana,"794,3333333","1479,666667",ana
pedro,"-581,8333333",110,pedro,"801,8333333","1493,666667",pedro
joao,"-587,3333333",111,joao,"809,3333333","1507,666667",joao
ana,"-592,8333333",112,ana,"816,8333333","1521,666667",ana
pedro,"-598,3333333",113,pedro,"824,3333333","1535,666667",pedro
joao,"-603,8333333",114,joao,"831,8333333","1549,666667",joao
ana,"-609,3333333",115,ana,"839,3333333","1563,666667",ana
pedro,"-614,8333333",116,pedro,"846,8333333","1577,666667",pedro
joao,"-620,3333333",117,joao,"854,3333333","1591,666667",joao
ana,"-625,8333333",118,ana,"861,8333333","1605,666667",ana
pedro,"-631,3333333",119,pedro,"869,3333333","1619,666667",pedro
joao,"-636,8333333",120,joao,"876,8333333","1633,666667",joao
ana,"-642,3333333",121,ana,"884,3333333","1647,666667",ana
pedro,"-647,8333333",122,pedro,"891,8333333","1661,666667",pedro
joao,"-653,3333333",123,joao,"899,3333333","1675,666667",joao
ana,"-658,8333333",124,ana,"906,8333333","1689,666667",ana
pedro,"-664,3333333",125,pedro,"914,3333333","1703,666667",pedro
joao,"-669,8333333",126,joao,"921,8333333","1717,666667",joao
ana,"-675,3333333",127,ana,"929,3333333","1731,666667",ana
pedro,"-680,8333333",128,pedro,"936,8333333","1745,666667",pedro
joao,"-686,3333333",129,joao,"944,3333333","1759,666667",joao
ana,"-691,8333333",130,ana,"951,8333333","1773,666667",ana
pedro,"-697,3333333",131,pedro,"959,3333333","1787,666667",pedro
joao,"-702,8333333",132,joao,"966,8333333","1801,666667",joao
ana,"-708,3333333",133,ana,"974,3333333","1815,666667",ana
pedro,"-713,8333333",134,pedro,"981,8333333","1829,666667",pedro
joao,"-719,3333333",135,joao,"989,3333333","1843,666667",joao
ana,"-724,8333333",136,ana,"996,8333333","1857,666667",ana
pedro,"-730,3333333",137,pedro,"1004,333333","1871,666667",pedro
joao,"-735,8333333",138,joao,"1011,833333","1885,666667",joao
ana,"-741,3333333",139,ana,"1019,333333","1899,666667",ana
pedro,"-746,8333333",140,pedro,"1026,833333","1913,666667",pedro
joao,"-752,3333333",141,joao,"1034,333333","1927,666667",joao
ana,"-757,8333333",142,ana,"1041,833333","1941,666667",ana
pedro,"-763,3333333",143,pedro,"1049,333333","1955,666667",pedro
joao,"-768,8333333",144,joao,"1056,833333","1969,666667",joao
ana,"-774,3333333",145,ana,"1064,333333","1983,666667",ana
pedro,"-779,8333333",146,pedro,"1071,833333","1997,666667",pedro
joao,"-785,3333333",147,joao,"1079,333333","2011,666667",joao
ana,"-790,8333333",148,ana,"1086,833333","2025,666667",ana
pedro,"-796,3333333",149,pedro,"1094,333333","2039,666667",pedro
joao,"-801,8333333",150,joao,"1101,833333","2053,666667",joao
ana,"-807,3333333",151,ana,"1109,333333","2067,666667",ana
pedro,"-812,8333333",152,pedro,"1116,833333","2081,666667",pedro
joao,"-818,3333333",153,joao,"1124,333333","2095,666667",joao
ana,"-823,8333333",154,ana,"1131,833333","2109,666667",ana
pedro,"-829,3333333",155,pedro,"1139,333333","2123,666667",pedro
joao,"-834,8333333",156,joao,"1146,833333","2137,666667",joao
ana,"-840,3333333",157,ana,"1154,333333","2151,666667",ana
pedro,"-845,8333333",158,pedro,"1161,833333","2165,666667",pedro
joao,"-851,3333333",159,joao,"1169,333333","2179,666667",joao
ana,"-856,8333333",160,ana,"1176,833333","2193,666667",ana
pedro,"-862,3333333",161,pedro,"1184,333333","2207,666667",pedro
joao,"-867,8333333",162,joao,"1191,833333","2221,666667",joao
ana,"-873,3333333",163,ana,"1199,333333","2235,666667",ana
pedro,"-878,8333333",164,pedro,"1206,833333","2249,666667",pedro
joao,"-884,3333333",165,joao,"1214,333333","2263,666667",joao
ana,"-889,8333333",166,ana,"1221,833333","2277,666667",ana
pedro,"-895,3333333",167,pedro,"1229,333333","2291,666667",pedro
joao,"-900,8333333",168,joao,"1236,833333","2305,666667",joao
ana,"-906,3333333",169,ana,"1244,333333","2319,666667",ana
pedro,"-911,8333333",170,pedro,"1251,833333","2333,666667",pedro
joao,"-917,3333333",171,joao,"1259,333333","2347,666667",joao
ana,"-922,8333333",172,ana,"1266,833333","2361,666667",ana
pedro,"-928,3333333",173,pedro,"1274,333333","2375,666667",pedro
joao,"-933,8333333",174,joao,"1281,833333","2389,666667",joao
ana,"-939,3333333",175,ana,"1289,333333","2403,666667",ana
pedro,"-944,8333333",176,pedro,"1296,833333","2417,666667",pedro
joao,"-950,3333333",177,joao,"1304,333333","2431,666667",joao
ana,"-955,8333333",178,ana,"1311,833333","2445,666667",ana
pedro,"-961,3333333",179,pedro,"1319,333333","2459,666667",pedro
joao,"-966,8333333",180,joao,"1326,833333","2473,666667",joao
ana,"-972,3333333",181,ana,"1334,333333","2487,666667",ana
pedro,"-977,8333333",182,pedro,"1341,833333","2501,666667",pedro
joao,"-983,3333333",183,joao,"1349,333333","2515,666667",joao
ana,"-988,8333333",184,ana,"1356,833333","2529,666667",ana
pedro,"-994,3333333",185,pedro,"1364,333333","2543,666667",pedro
joao,"-999,8333333",186,joao,"1371,833333","2557,666667",joao
ana,"-1005,333333",187,ana,"1379,333333","2571,666667",ana
pedro,"-1010,833333",188,pedro,"1386,833333","2585,666667",pedro
joao,"-1016,333333",189,joao,"1394,333333","2599,666667",joao
ana,"-1021,833333",190,ana,"1401,833333","2613,666667",ana
pedro,"-1027,333333",191,pedro,"1409,333333","2627,666667",pedro
joao,"-1032,833333",192,joao,"1416,833333","2641,666667",joao
ana,"-1038,333333",193,ana,"1424,333333","2655,666667",ana
pedro,"-1043,833333",194,pedro,"1431,833333","2669,666667",pedro
joao,"-1049,333333",195,joao,"1439,333333","2683,666667",joao
ana,"-1054,833333",196,ana,"1446,833333","2697,666667",ana
pedro,"-1060,333333",197,pedro,"1454,333333","2711,666667",pedro
joao,"-1065,833333",198,joao,"1461,833333","2725,666667",joao
ana,"-1071,333333",199,ana,"1469,333333","2739,666667",ana
pedro,"-1076,833333",200,pedro,"1476,833333","2753,666667",pedro
joao,"-1082,333333",201,joao,"1484,333333","2767,666667",joao
ana,"-1087,833333",202,ana,"1491,833333","2781,666667",ana
pedro,"-1093,333333",203,pedro,"1499,333333","2795,666667",pedro
joao,"-1098,833333",204,joao,"1506,833333","2809,666667",joao
ana,"-1104,333333",205,ana,"1514,333333","2823,666667",ana
pedro,"-1109,833333",206,pedro,"1521,833333","2837,666667",pedro
joao,"-1115,333333",207,joao,"1529,333333","2851,666667",joao
ana,"-1120,833333",208,ana,"1536,833333","2865,666667",ana
pedro,"-1126,333333",209,pedro,"1544,333333","2879,666667",pedro
joao,"-1131,833333",210,joao,"1551,833333","2893,666667",joao
ana,"-1137,333333",211,ana,"1559,333333","2907,666667",ana
pedro,"-1142,833333",212,pedro,"1566,833333","2921,666667",pedro
joao,"-1148,333333",213,joao,"1574,333333","2935,666667",joao
ana,"-1153,833333",214,ana,"1581,833333","2949,666667",ana
pedro,"-1159,333333",215,pedro,"1589,333333","2963,666667",pedro
joao,"-1164,833333",216,joao,"1596,833333","2977,666667",joao
ana,"-1170,333333",217,ana,"1604,333333","2991,666667",ana
pedro,"-1175,833333",218,pedro,"1611,833333","3005,666667",pedro
joao,"-1181,333333",219,joao,"1619,333333","3019,666667",joao
ana,"-1186,833333",220,ana,"1626,833333","3033,666667",ana
pedro,"-1192,333333",221,pedro,"1634,333333","3047,666667",pedro
joao,"-1197,833333",222,joao,"1641,833333","3061,666667",joao
ana,"-1203,333333",223,ana,"1649,333333","3075,666667",ana
pedro,"-1208,833333",224,pedro,"1656,833333","3089,666667",pedro
joao,"-1214,333333",225,joao,"1664,333333","3103,666667",joao
ana,"-1219,833333",226,ana,"1671,833333","3117,666667",ana
pedro,"-1225,333333",227,pedro,"1679,333333","3131,666667",pedro
joao,"-1230,833333",228,joao,"1686,833333","3145,666667",joao
ana,"-1236,333333",229,ana,"1694,333333","3159,666667",ana
pedro,"-1241,833333",230,pedro,"1701,833333","3173,666667",pedro
joao,"-1247,333333",231,joao,"1709,333333","3187,666667",joao
ana,"-1252,833333",232,ana,"1716,833333","3201,666667",ana
pedro,"-1258,333333",233,pedro,"1724,333333","3215,666667",pedro
joao,"-1263,833333",234,joao,"1731,833333","3229,666667",joao
ana,"-1269,333333",235,ana,"1739,333333","3243,666667",ana
pedro,"-1274,833333",236,pedro,"1746,833333","3257,666667",pedro
joao,"-1280,333333",237,joao,"1754,333333","3271,666667",joao
ana,"-1285,833333",238,ana,"1761,833333","3285,666667",ana
pedro,"-1291,333333",239,pedro,"1769,333333","3299,666667",pedro
joao,"-1296,833333",240,joao,"1776,833333","3313,666667",joao
ana,"-1302,333333",241,ana,"1784,333333","3327,666667",ana
pedro,"-1307,833333",242,pedro,"1791,833333","3341,666667",pedro
joao,"-1313,333333",243,joao,"1799,333333","3355,666667",joao
ana,"-1318,833333",244,ana,"1806,833333","3369,666667",ana
pedro,"-1324,333333",245,pedro,"1814,333333","3383,666667",pedro
joao,"-1329,833333",246,joao,"1821,833333","3397,666667",joao
ana,"-1335,333333",247,ana,"1829,333333","3411,666667",ana
pedro,"-1340,833333",248,pedro,"1836,833333","3425,666667",pedro
joao,"-1346,333333",249,joao,"1844,333333","3439,666667",joao
ana,"-1351,833333",250,ana,"1851,833333","3453,666667",ana
pedro,"-1357,333333",251,pedro,"1859,333333","3467,666667",pedro
joao,"-1362,833333",252,joao,"1866,833333","3481,666667",joao
ana,"-1368,333333",253,ana,"1874,333333","3495,666667",ana
pedro,"-1373,833333",254,pedro,"1881,833333","3509,666667",pedro
joao,"-1379,333333",255,joao,"1889,333333","3523,666667",joao
ana,"-1384,833333",256,ana,"1896,833333","3537,666667",ana
pedro,"-1390,333333",257,pedro,"1904,333333","3551,666667",pedro
joao,"-1395,833333",258,joao,"1911,833333","3565,666667",joao
ana,"-1401,333333",259,ana,"1919,333333","3579,666667",ana
pedro,"-1406,833333",260,pedro,"1926,833333","3593,666667",pedro
joao,"-1412,333333",261,joao,"1934,333333","3607,666667",joao
ana,"-1417,833333",262,ana,"1941,833333","3621,666667",ana
pedro,"-1423,333333",263,pedro,"1949,333333","3635,666667",pedro
joao,"-1428,833333",264,joao,"1956,833333","3649,666667",joao
ana,"-1434,333333",265,ana,"1964,333333","3663,666667",ana
pedro,"-1439,833333",266,pedro,"1971,833333","3677,666667",pedro
joao,"-1445,333333",267,joao,"1979,333333","3691,666667",joao
ana,"-1450,833333",268,ana,"1986,833333","3705,666667",ana
pedro,"-1456,333333",269,pedro,"1994,333333","3719,666667",pedro
joao,"-1461,833333",270,joao,"2001,833333","3733,666667",joao
ana,"-1467,333333",271,ana,"2009,333333","3747,666667",ana
pedro,"-1472,833333",272,pedro,"2016,833333","3761,666667",pedro
joao,"-1478,333333",273,joao,"2024,333333","3775,666667",joao
ana,"-1483,833333",274,ana,"2031,833333","3789,666667",ana
pedro,"-1489,333333",275,pedro,"2039,333333","3803,666667",pedro
joao,"-1494,833333",276,joao,"2046,833333","3817,666667",joao
ana,"-1500,333333",277,ana,"2054,333333","3831,666667",ana
pedro,"-1505,833333",278,pedro,"2061,833333","3845,666667",pedro
joao,"-1511,333333",279,joao,"2069,333333","3859,666667",joao
ana,"-1516,833333",280,ana,"2076,833333","3873,666667",ana
pedro,"-1522,333333",281,pedro,"2084,333333","3887,666667",pedro
joao,"-1527,833333",282,joao,"2091,833333","3901,666667",joao
ana,"-1533,333333",283,ana,"2099,333333","3915,666667",ana
pedro,"-1538,833333",284,pedro,"2106,833333","3929,666667",pedro
joao,"-1544,333333",285,joao,"2114,333333","3943,666667",joao
ana,"-1549,833333",286,ana,"2121,833333","3957,666667",ana
pedro,"-1555,333333",287,pedro,"2129,333333","3971,666667",pedro
joao,"-1560,833333",288,joao,"2136,833333","3985,666667",joao
ana,"-1566,333333",289,ana,"2144,333333","3999,666667",ana
pedro,"-1571,833333",290,pedro,"2151,833333","4013,666667",pedro
joao,"-1577,333333",291,joao,"2159,333333","4027,666667",joao
ana,"-1582,833333",292,ana,"2166,833333","4041,666667",ana
pedro,"-1588,333333",293,pedro,"2174,333333","4055,666667",pedro
joao,"-1593,833333",294,joao,"2181,833333","4069,666667",joao
ana,"-1599,333333",295,ana,"2189,333333","4083,666667",ana
pedro,"-1604,833333",296,pedro,"2196,833333","4097,666667",pedro
joao,"-1610,333333",297,joao,"2204,333333","4111,666667",joao
ana,"-1615,833333",298,ana,"2211,833333","4125,666667",ana
pedro,"-1621,333333",299,pedro,"2219,333333","4139,666667",pedro
joao,"-1626,833333",300,joao,"2226,833333","4153,666667",joao
ana,"-1632,333333",301,ana,"2234,333333","4167,666667",ana
pedro,"-1637,833333",302,pedro,"2241,833333","4181,666667",pedro
joao,"-1643,333333",303,joao,"2249,333333","4195,666667",joao
ana,"-1648,833333",304,ana,"2256,833333","4209,666667",ana
pedro,"-1654,333333",305,pedro,"2264,333333","4223,666667",pedro
joao,"-1659,833333",306,joao,"2271,833333","4237,666667",joao
ana,"-1665,333333",307,ana,"2279,333333","4251,666667",ana
pedro,"-1670,833333",308,pedro,"2286,833333","4265,666667",pedro
joao,"-1676,333333",309,joao,"2294,333333","4279,666667",joao
ana,"-1681,833333",310,ana,"2301,833333","4293,666667",ana
pedro,"-1687,333333",311,pedro,"2309,333333","4307,666667",pedro
joao,"-1692,833333",312,joao,"2316,833333","4321,666667",joao
ana,"-1698,333333",313,ana,"2324,333333","4335,666667",ana
pedro,"-1703,833333",314,pedro,"2331,833333","4349,666667",pedro
joao,"-1709,333333",315,joao,"2339,333333","4363,666667",joao
ana,"-1714,833333",316,ana,"2346,833333","4377,666667",ana
pedro,"-1720,333333",317,pedro,"2354,333333","4391,666667",pedro
joao,"-1725,833333",318,joao,"2361,833333","4405,666667",joao
ana,"-1731,333333",319,ana,"2369,333333","4419,666667",ana
pedro,"-1736,833333",320,pedro,"2376,833333","4433,666667",pedro
joao,"-1742,333333",321,joao,"2384,333333","4447,666667",joao
ana,"-1747,833333",322,ana,"2391,833333","4461,666667",ana
pedro,"-1753,333333",323,pedro,"2399,333333","4475,666667",pedro
joao,"-1758,833333",324,joao,"2406,833333","4489,666667",joao
ana,"-1764,333333",325,ana,"2414,333333","4503,666667",ana
pedro,"-1769,833333",326,pedro,"2421,833333","4517,666667",pedro
joao,"-1775,333333",327,joao,"2429,333333","4531,666667",joao
ana,"-1780,833333",328,ana,"2436,833333","4545,666667",ana
pedro,"-1786,333333",329,pedro,"2444,333333","4559,666667",pedro
joao,"-1791,833333",330,joao,"2451,833333","4573,666667",joao
ana,"-1797,333333",331,ana,"2459,333333","4587,666667",ana
pedro,"-1802,833333",332,pedro,"2466,833333","4601,666667",pedro
joao,"-1808,333333",333,joao,"2474,333333","4615,666667",joao
ana,"-1813,833333",334,ana,"2481,833333","4629,666667",ana
pedro,"-1819,333333",335,pedro,"2489,333333","4643,666667",pedro
joao,"-1824,833333",336,joao,"2496,833333","4657,666667",joao
ana,"-1830,333333",337,ana,"2504,333333","4671,666667",ana
pedro,"-1835,833333",338,pedro,"2511,833333","4685,666667",pedro
joao,"-1841,333333",339,joao,"2519,333333","4699,666667",joao
ana,"-1846,833333",340,ana,"2526,833333","4713,666667",ana
pedro,"-1852,333333",341,pedro,"2534,333333","4727,666667",pedro
joao,"-1857,833333",342,joao,"2541,833333","4741,666667",joao
ana,"-1863,333333",343,ana,"2549,333333","4755,666667",ana
pedro,"-1868,833333",344,pedro,"2556,833333","4769,666667",pedro
joao,"-1874,333333",345,joao,"2564,333333","4783,666667",joao
ana,"-1879,833333",346,ana,"2571,833333","4797,666667",ana
pedro,"-1885,333333",347,pedro,"2579,333333","4811,666667",pedro
joao,"-1890,833333",348,joao,"2586,833333","4825,666667",joao
ana,"-1896,333333",349,ana,"2594,333333","4839,666667",ana
pedro,"-1901,833333",350,pedro,"2601,833333","4853,666667",pedro
joao,"-1907,333333",351,joao,"2609,333333","4867,666667",joao
ana,"-1912,833333",352,ana,"2616,833333","4881,666667",ana
pedro,"-1918,333333",353,pedro,"2624,333333","4895,666667",pedro
joao,"-1923,833333",354,joao,"2631,833333","4909,666667",joao
ana,"-1929,333333",355,ana,"2639,333333","4923,666667",ana
pedro,"-1934,833333",356,pedro,"2646,833333","4937,666667",pedro
joao,"-1940,333333",357,joao,"2654,333333","4951,666667",joao
ana,"-1945,833333",358,ana,"2661,833333","4965,666667",ana
pedro,"-1951,333333",359,pedro,"2669,333333","4979,666667",pedro
joao,"-1956,833333",360,joao,"2676,833333","4993,666667",joao
ana,"-1962,333333",361,ana,"2684,333333","5007,666667",ana
pedro,"-1967,833333",362,pedro,"2691,833333","5021,666667",pedro
joao,"-1973,333333",363,joao,"2699,333333","5035,666667",joao
ana,"-1978,833333",364,ana,"2706,833333","5049,666667",ana
pedro,"-1984,333333",365,pedro,"2714,333333","5063,666667",pedro
joao,"-1989,833333",366,joao,"2721,833333","5077,666667",joao
ana,"-1995,333333",367,ana,"2729,333333","5091,666667",ana
pedro,"-2000,833333",368,pedro,"2736,833333","5105,666667",pedro
joao,"-2006,333333",369,joao,"2744,333333","5119,666667",joao
ana,"-2011,833333",370,ana,"2751,833333","5133,666667",ana
pedro,"-2017,333333",371,pedro,"2759,333333","5147,666667",pedro
joao,"-2022,833333",372,joao,"2766,833333","5161,666667",joao
ana,"-2028,333333",373,ana,"2774,333333","5175,666667",ana
pedro,"-2033,833333",374,pedro,"2781,833333","5189,666667",pedro
joao,"-2039,333333",375,joao,"2789,333333","5203,666667",joao
ana,"-2044,833333",376,ana,"2796,833333","5217,666667",ana
pedro,"-2050,333333",377,pedro,"2804,333333","5231,666667",pedro
joao,"-2055,833333",378,joao,"2811,833333","5245,666667",joao
ana,"-2061,333333",379,ana,"2819,333333","5259,666667",ana
pedro,"-2066,833333",380,pedro,"2826,833333","5273,666667",pedro
joao,"-2072,333333",381,joao,"2834,333333","5287,666667",joao
ana,"-2077,833333",382,ana,"2841,833333","5301,666667",ana
pedro,"-2083,333333",383,pedro,"2849,333333","5315,666667",pedro
joao,"-2088,833333",384,joao,"2856,833333","5329,666667",joao
ana,"-2094,333333",385,ana,"2864,333333","5343,666667",ana
pedro,"-2099,833333",386,pedro,"2871,833333","5357,666667",pedro
joao,"-2105,333333",387,joao,"2879,333333","5371,666667",joao
ana,"-2110,833333",388,ana,"2886,833333","5385,666667",ana
pedro,"-2116,333333",389,pedro,"2894,333333","5399,666667",pedro
joao,"-2121,833333",390,joao,"2901,833333","5413,666667",joao
ana,"-2127,333333",391,ana,"2909,333333","5427,666667",ana
pedro,"-2132,833333",392,pedro,"2916,833333","5441,666667",pedro
joao,"-2138,333333",393,joao,"2924,333333","5455,666667",joao
ana,"-2143,833333",394,ana,"2931,833333","5469,666667",ana
pedro,"-2149,333333",395,pedro,"2939,333333","5483,666667",pedro
joao,"-2154,833333",396,joao,"2946,833333","5497,666667",joao
ana,"-2160,333333",397,ana,"2954,333333","5511,666667",ana
pedro,"-2165,833333",398,pedro,"2961,833333","5525,666667",pedro
joao,"-2171,333333",399,joao,"2969,333333","5539,666667",joao
ana,"-2176,833333",400,ana,"2976,833333","5553,666667",ana
pedro,"-2182,333333",401,pedro,"2984,333333","5567,666667",pedro
joao,"-2187,833333",402,joao,"2991,833333","5581,666667",joao
ana,"-2193,333333",403,ana,"2999,333333","5595,666667",ana
pedro,"-2198,833333",404,pedro,"3006,833333","5609,666667",pedro
joao,"-2204,333333",405,joao,"3014,333333","5623,666667",joao
ana,"-2209,833333",406,ana,"3021,833333","5637,666667",ana
pedro,"-2215,333333",407,pedro,"3029,333333","5651,666667",pedro
joao,"-2220,833333",408,joao,"3036,833333","5665,666667",joao
ana,"-2226,333333",409,ana,"3044,333333","5679,666667",ana
pedro,"-2231,833333",410,pedro,"3051,833333","5693,666667",pedro
joao,"-2237,333333",411,joao,"3059,333333","5707,666667",joao
ana,"-2242,833333",412,ana,"3066,833333","5721,666667",ana
pedro,"-2248,333333",413,pedro,"3074,333333","5735,666667",pedro
joao,"-2253,833333",414,joao,"3081,833333","5749,666667",joao
ana,"-2259,333333",415,ana,"3089,333333","5763,666667",ana
pedro,"-2264,833333",416,pedro,"3096,833333","5777,666667",pedro
joao,"-2270,333333",417,joao,"3104,333333","5791,666667",joao
ana,"-2275,833333",418,ana,"3111,833333","5805,666667",ana
pedro,"-2281,333333",419,pedro,"3119,333333","5819,666667",pedro
joao,"-2286,833333",420,joao,"3126,833333","5833,666667",joao
ana,"-2292,333333",421,ana,"3134,333333","5847,666667",ana
pedro,"-2297,833333",422,pedro,"3141,833333","5861,666667",pedro
